artist,artist_id,count,genres
Chuck Berry,293zczrfYafIItmnmM3coR,8,blues rock|classic rock|rock|rock-and-roll|rockabilly|soul
Citizen Cope,7enBrBojgBJuPPdqTq4Z5F,1,neo mellow
City and Colour,74gcBzlQza1bSfob90yRhR,6,canadian folk|canadian indie
Cliff Martinez,2OVqg3lxC8ZIf0vHcEqaCf,1,soundtrack
Cloud Nothings,6rnbB5fuUuCSsspvFsxIpT,1,cleveland indie|indie punk|indie rock|lo-fi|modern rock|noise pop|nu gaze|popgaze
Coconut Records,2YKp8Odp8GGbAkVU60Yk2Y,1,indie pop|la indie|stomp and holler
Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,43,indie pop|indie rock|modern alternative rock|modern rock|piano rock|pop rock|rock|stomp and holler
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,62,permanent wave|pop
Collapsing Stars,4ZDnft3oizJXm9SyVxT6xU,1,
Collections Of Colonies Of Bees,4mGXknIZtImmEXjSQfGGQp,1,milwaukee indie
Common,2GHclqNVjqGuiE5mA7BEoc,1,alternative hip hop|chicago rap|conscious hip hop|gangster rap|hardcore hip hop|hip hop|neo soul|political hip hop|rap|southern hip hop
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,1,bedroom pop|indie pop|pop
Conner Youngblood,1HzpwUIkmmlGCNuoOcXiIW,2,shimmer pop|shiver pop
Conor Oberst,2Z7gV3uEh1ckIaBzTUCE6R,1,anti-folk|indie folk|indie pop|indie rock|melancholia|omaha indie|stomp and holler
Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,2,art pop|australian indie|indie pop|indie rock|melbourne indie
Crying,4RoIQHT4yJcA0ENhs8WLd4,1,bitpop|diy emo|indie punk|modern power pop
Crystal Fighters,75EZuo5MHV2572NRpMWotC,1,alternative dance|new rave
Cub Sport,6vqMDhoigg5btfdPsPTVFt,1,australian hip hop|australian indie|australian indie rock|australian pop|brisbane indie
Cullah,5Emm04qPI9mTCoRI9XkHUz,1,milwaukee indie
DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,1,alternative hip hop|big beat|downtempo|electronica|hip hop|trip hop|turntablism
DMX,1HwM5zlC5qNWhJtM00yXzG,1,east coast hip hop|gangster rap|hardcore hip hop|hip hop|pop rap|rap|southern hip hop
DYAN,5oVU37Ru65xPHl7dJG7gR9,1,la pop
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,1,electro|filter house
Damian Lemar Hudson,4L1YBxxAxQx0HG8lgPcFcJ,1,
Damien Jurado,79JJCxCCfJ8HufX6w8q2k4,3,alternative country|chamber pop|freak folk|indie folk|indie rock|new americana|slowcore|stomp and holler
Damien Rice,14r9dR01KeBLFfylVSKCZQ,1,acoustic pop|irish rock|irish singer-songwriter|neo mellow|singer-songwriter
Dan Auerbach,6YWdHD3R863Apw1hkx3BwC,23,funk|garage rock|indie folk|modern blues rock|modern rock|new americana|punk blues|rock|stomp and holler
Daniel Ahearn & The Jones,56T46dhAqh112Nsh1rhUOa,1,
Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,4,canadian contemporary r&b|pop
Daniel Ellsworth & The Great Lakes,6wdFLynBtY9Ee5UV8NUJj0,1,nashville indie
Daniel Radcliffe,2YD3t3MBtQo16C8FrEYVh3,1,
Daniel Tashian,4RldQHPp4l6UV78DAvf5qz,1,
Dark Dark Dark,3UORxcctdWi6drku1qOrol,1,chamber folk|chicago indie
Darlingside,3DkhgIw7lIyxekurpXNTrm,1,boston folk|folk-pop|indie folk|new americana|new england americana|stomp and holler
Daughter,46CitWgnWrvF9t70C2p1Me,2,shimmer pop
Dave Barnes,7hbH1qupmU6HxVBjWJItlq,1,acoustic pop|indiecoustica|neo mellow|pop rock
Daveed Diggs,3twuAojvYNrlWZpMkxLm3P,1,alternative hip hop
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,1,album rock|art rock|classic rock|dance rock|glam rock|permanent wave|rock
David Gray,7J2lZBANizgPNfUzux31PV,2,neo mellow|permanent wave|pop rock
Dawn Golden,6MzxeKydmXufvX7HYPknFW,2,lo star|vapor pop
DeYarmond Edison,6arKuGbH3PuYfGN6yJ7RA9,4,eau claire indie|stomp and holler
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,8,indie pop|indie rock|modern rock|pop rock|washington indie
Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,1,indie pop|modern alternative rock|modern rock|rock
Del Water Gap,0xPoVNPnxIIUS1vrxAYV00,2,deep new americana
Diplo,5fMUXHkw8R8eOP2RNVYEZX,3,bmore|edm|moombahton|ninja|pop
Dirty Gold,2BcIBFXVoydowG3UQYYq49,1,
Disclosure,6nS5roXSAGhTGr34W6n7Et,1,house|pop|tropical house|uk dance
Dispatch,6v4jPZO3UIDNJIgdxRxtr9,7,indie folk|jam band|modern folk rock|neo mellow|reggae rock|stomp and holler
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,1,la indie|pop
